people ID,Infect_Prob
5942,54.824
18664,55.196
5603,54.576
5649,54.964
5099,54.888
18749,54.58
5228,54.804
5559,54.98
5220,54.976
5476,54.692
5260,54.172
17638,55.26
18635,55.036
18794,64.704
5263,53.904
17680,66.696
18030,55.152
18090,55.056
18455,54.768
18155,55.12
18116,61.176
18144,54.988
5218,61.54
5386,54.748
18105,56.148
5735,54.72
5900,54.852
18391,54.684
5786,54.804
18639,54.768
17984,54.628
18274,54.344
5425,54.9
6076,54.732
18545,54.668
17697,66.464
6137,54.86
6083,55.136
17730,55.268
5896,64.76
18906,54.752
17808,55.0
6078,55.06
5516,54.572
18093,54.764
6120,54.992
18154,55.144
17935,55.772
18769,65.024
18264,54.884
18076,53.584
18035,55.068
18051,55.032
18676,54.504
5332,54.576
5898,63.0
18370,54.572
17706,54.608
5198,54.936
18360,54.752
18240,55.228
18691,54.736
5768,55.188
18315,54.88
18776,55.016
6225,54.96
17983,64.128
17973,55.104
5805,61.264
5500,55.244
5305,54.62
18243,54.54
5169,54.684
5258,55.44
17810,65.516
5714,54.48
6070,54.708
5959,61.464
18771,55.284
17765,54.316
18822,55.232
17735,66.872
17966,54.888
18861,55.196
18236,54.6
18750,72.252
17809,58.6
6049,55.2
18465,54.696
6201,55.04
18877,54.976
5087,54.756
17742,54.304
17941,60.988
18421,54.924
18489,54.992
6299,64.712
18428,54.652
5563,63.032
18796,57.496
5849,55.012
5661,54.636
5893,54.364
5378,63.072
5622,54.948
5823,54.564
18521,54.756
5502,54.724
18785,54.732
17783,54.62
18424,58.188
18147,54.892
18881,54.364
18851,54.78
17686,55.104
5100,54.868
5213,54.508
18252,54.26
5576,54.644
18050,54.244
5875,54.592
6059,54.584
18599,54.66
5173,54.664
5461,54.788
5151,61.628
5266,54.584
5514,68.552
5224,54.58
18069,54.732
5587,54.468
17874,54.288
5536,54.416
5215,54.784
5400,63.728
17857,54.788
6043,61.536
18330,54.152
18333,54.832
17788,54.564
18332,62.36
17836,54.984
5247,54.452
5922,55.84
18641,66.312
5951,63.48
18807,54.684
18293,59.632
18775,54.932
5601,54.484
5102,54.66
18464,53.944
17713,55.016
18557,55.18
18854,54.728
18401,54.848
18699,64.7
5706,61.244
5747,55.028
5496,54.8
18308,54.652
5345,57.792
18525,52.36
18258,60.06
6062,54.78
17921,54.448
5303,54.492
18592,52.06
5814,54.184
18805,54.608
5910,54.496
5201,54.82
5724,69.164
17693,54.416
5407,54.716
18617,54.824
18173,54.888
18875,54.428
5225,54.54
5858,54.856
5091,54.68
5254,55.072
18801,54.708
6009,54.496
18149,54.54
6105,54.736
5974,54.524
17967,62.3
5781,54.748
5834,54.808
17683,54.328
5338,54.736
18400,58.676
18633,54.424
6162,54.548
18598,54.58
5212,54.768
18731,54.34
18177,54.5
5232,54.38
5753,54.86
5118,54.72
18055,61.7
18151,63.868
5572,54.992
18502,54.524
18178,54.3
6276,54.424
5226,68.268
18411,54.592
6134,54.452
5177,54.664
18031,54.364
17853,54.74
6171,54.312
5725,65.004
6282,52.384
18762,53.772
17909,54.368
18357,54.904
5981,54.112
5862,54.368
18461,54.292
5275,54.204
6084,54.608
18403,54.452
17856,54.62
17723,54.668
6103,54.448
17897,54.128
6042,54.408
6219,65.82
5697,67.516
18636,66.256
5343,54.308
5994,54.812
5956,60.94
5666,54.628
18791,54.376
5686,54.404
6027,54.168
5751,54.612
18812,66.788
18688,55.008
18441,57.364
5508,54.084
5889,54.584
5843,54.616
5459,52.48
18141,51.692
18757,58.88
6313,54.768
6032,63.484
18475,52.952
17702,54.888
5815,54.244
18816,54.684
18589,54.444
17738,53.956
18553,54.724
5538,54.144
18472,53.92
5453,54.6
18026,54.508
18409,54.596
5444,54.544
17965,55.824
18541,54.44
5371,54.512
6051,54.548
18882,54.616
5108,53.648
6005,63.38
5380,54.268
6151,54.244
18195,54.264
17695,54.664
5101,54.736
5255,54.468
5579,54.296
18509,54.232
5257,55.86
6310,60.884
5431,54.596
17703,54.276
18316,54.752
5174,54.276
18337,54.252
18515,54.524
17993,63.24
6232,54.492
5339,56.008
5972,54.244
6097,54.568
5130,54.12
5934,54.556
17646,60.608
5803,54.452
18134,64.308
18301,54.516
18071,54.172
5973,54.204
17972,60.096
6212,65.564
17886,54.244
18584,54.48
18027,54.964
5093,53.916
5817,54.524
5519,54.136
18127,54.472
6144,53.748
5430,54.524
6179,54.12
5921,54.092
5788,54.056
17960,54.68
5682,54.524
5713,54.732
18735,54.332
18693,54.468
6256,54.016
18064,54.556
18302,52.56
5620,52.684
18010,54.212
18647,54.276
5749,53.664
18286,54.148
5381,53.792
6012,54.472
18043,54.648
18845,53.876
17736,54.06
17919,54.456
5297,54.164
17651,53.844
5109,54.112
5756,54.296
17628,54.172
6237,53.824
18407,54.36
5157,54.988
17902,54.224
18650,54.056
5589,54.248
6010,54.088
18792,54.056
17932,53.876
18568,54.268
17684,54.12
5573,54.252
17685,54.02
5948,56.232
5469,54.268
18736,57.708
17664,54.008
